name,r,g,b,canvas_x,canvas_y,font_size,link
anime score,124,140,144,402,6226,102,engenremap-animescore.html
ambient psychill,161,149,193,732,1710,100,engenremap-ambientpsychill.html
japanese jazztronica,183,130,104,868,2223,100,engenremap-japanesejazztronica.html
technical brutal death metal,234,62,156,197,4651,100,engenremap-technicalbrutaldeathmetal.html
indie singer-songwriter,104,156,15,604,7206,100,engenremap-indiesingersongwriter.html
rock urbano mexicano,189,116,15,530,5220,102,engenremap-rockurbanomexicano.html
classical piano,33,161,213,510,10842,101,engenremap-classicalpiano.html
argentine telepop,168,138,12,662,3551,102,engenremap-argentinetelepop.html
enka,115,150,12,508,7691,101,engenremap-enka.html
boogaloo,151,132,47,1040,7479,103,engenremap-boogaloo.html
latvian metal,216,88,82,220,2507,100,engenremap-latvianmetal.html
detroit trap,166,140,1,1029,2577,102,engenremap-detroittrap.html
german opera,49,143,59,280,10874,100,engenremap-germanopera.html
new orleans jazz,88,132,113,1014,9519,101,engenremap-neworleansjazz.html
german hardcore,229,92,40,390,3391,100,engenremap-germanhardcore.html
australian country,151,141,3,711,4924,102,engenremap-australiancountry.html
punk colombiano,221,93,16,418,3379,100,engenremap-punkcolombiano.html
progressive post-hardcore,201,105,33,278,3589,102,engenremap-progressiveposthardcore.html
trap chileno,161,148,5,1012,4237,103,engenremap-trapchileno.html
alternative metal,213,90,46,303,3279,118,engenremap-alternativemetal.html
uptempo hardcore,240,83,54,492,1289,102,engenremap-uptempohardcore.html
deep melodic metalcore,223,83,37,254,3356,100,engenremap-deepmelodicmetalcore.html
manchester hip hop,167,132,15,1027,4652,101,engenremap-manchesterhiphop.html
nz punk,222,84,51,294,4121,100,engenremap-nzpunk.html
bandinhas,206,123,6,943,2733,101,engenremap-bandinhas.html
screamocore,216,95,30,256,3441,100,engenremap-screamocore.html
virgin islands reggae,161,139,9,1120,4128,100,engenremap-virginislandsreggae.html
texas country,126,141,12,722,6460,105,engenremap-texascountry.html
iraqi pop,168,126,17,754,5181,100,engenremap-iraqipop.html
deep indie singer-songwriter,126,149,14,573,5862,100,engenremap-deepindiesingersongwriter.html
manchester indie,176,123,33,370,3726,101,engenremap-manchesterindie.html
latin talent show,138,150,9,680,5567,103,engenremap-latintalentshow.html
j-division,203,116,27,479,1895,102,engenremap-jdivision.html
string band,109,156,56,842,8234,100,engenremap-stringband.html
finnish rockabilly,195,115,22,689,5120,100,engenremap-finnishrockabilly.html
argentine punk,215,94,25,340,4812,101,engenremap-argentinepunk.html
electra,157,143,147,927,2235,103,engenremap-electra.html
deep pop punk,225,90,9,256,1923,101,engenremap-deeppoppunk.html
norwegian death metal,228,49,124,98,4846,100,engenremap-norwegiandeathmetal.html
metalcore,230,80,30,204,2750,108,engenremap-metalcore.html
power electronics,167,79,148,202,5874,100,engenremap-powerelectronics.html
microtonal,58,146,141,528,9260,100,engenremap-microtonal.html
deep indie pop,160,130,64,503,4497,100,engenremap-deepindiepop.html
zurich indie,159,134,72,673,3106,100,engenremap-zurichindie.html
abstractro,115,138,176,220,6967,100,engenremap-abstractro.html
melbourne bounce international,208,119,77,1016,988,103,engenremap-melbournebounceinternational.html
tanzlmusi,66,171,143,1067,9502,100,engenremap-tanzlmusi.html
theme,93,141,140,390,7503,101,engenremap-theme.html
exotica,95,142,123,653,8632,100,engenremap-exotica.html
indonesian reggae,169,128,13,752,4156,101,engenremap-indonesianreggae.html
peruvian experimental,148,125,169,406,7628,100,engenremap-peruvianexperimental.html
canadian experimental,112,128,170,226,7200,100,engenremap-canadianexperimental.html
polka,119,140,94,812,7193,100,engenremap-polka.html
musica infantil,113,152,35,1033,5521,101,engenremap-musicainfantil.html
microhouse,149,143,188,1055,1487,104,engenremap-microhouse.html
shibuya-kei,171,127,64,749,3243,101,engenremap-shibuyakei.html
detroit indie,171,125,47,535,4448,100,engenremap-detroitindie.html
noise punk,204,71,128,307,5581,100,engenremap-noisepunk.html
hardcore techno,218,103,101,773,1039,103,engenremap-hardcoretechno.html
brazilian house,183,143,135,1185,673,101,engenremap-brazilianhouse.html
gqom,188,140,78,1219,963,100,engenremap-gqom.html
chillhop,124,141,140,1052,4728,108,engenremap-chillhop.html
antideutsche,194,114,19,752,3194,102,engenremap-antideutsche.html
wind ensemble,60,141,187,464,9973,100,engenremap-windensemble.html
wave,152,152,154,621,2450,102,engenremap-wave.html
experimental rock,154,111,88,475,8000,103,engenremap-experimentalrock.html
neotango,133,144,93,951,3760,100,engenremap-neotango.html
greek house,175,144,184,1244,587,100,engenremap-greekhouse.html
deep italo disco,152,142,98,994,2854,100,engenremap-deepitalodisco.html
new zealand classical,54,152,128,497,9196,100,engenremap-newzealandclassical.html
peruvian rock,180,128,26,782,4448,102,engenremap-peruvianrock.html
antiviral pop,173,125,43,801,2928,104,engenremap-antiviralpop.html
classic italian folk pop,145,144,46,827,4961,100,engenremap-classicitalianfolkpop.html
traditional funk,160,119,53,814,5222,100,engenremap-traditionalfunk.html
jump up,221,122,130,929,849,102,engenremap-jumpup.html
french hip hop,180,130,8,1055,4741,113,engenremap-frenchhiphop.html
musique acadienne,156,142,13,697,5506,100,engenremap-musiqueacadienne.html
acoustic blues,87,141,36,1102,9645,101,engenremap-acousticblues.html
acoustic pop,127,148,12,540,6472,108,engenremap-acousticpop.html
melodic power metal,211,102,32,278,2465,100,engenremap-melodicpowermetal.html
eritrean pop,161,135,21,842,4937,100,engenremap-eritreanpop.html
islamic recitation,61,163,6,844,10386,101,engenremap-islamicrecitation.html
